Date,Volume
2022-02-14,39904600
2022-02-15,24292600
2022-02-16,26782800
2022-02-17,21712100
2022-02-18,28676900
2022-02-22,41705200
2022-02-23,25364100
2022-02-24,72797200
2022-02-25,38699800
2022-02-28,23023000
2022-03-01,33335100
2022-03-02,33458800
2022-03-03,30967100
2022-03-04,39602500
2022-03-07,37312800
2022-03-08,46800500
2022-03-09,39772500
2022-03-10,33905900
2022-03-11,36619400
2022-03-14,39280200
2022-03-15,43222800
2022-03-16,42861700
2022-03-17,38681100
2022-03-18,48177200
2022-03-21,37333300
2022-03-22,31579500
2022-03-23,31314200
2022-03-24,39684600
2022-03-25,51569200
2022-03-28,30452000
2022-03-29,41398000
2022-03-30,27207500
2022-03-31,24924800
2022-04-01,30182300
2022-04-04,32804800
2022-04-05,45285300
2022-04-06,44808200
2022-04-07,42220700
2022-04-08,40036500
2022-04-11,32796300
2022-04-12,29152100
2022-04-13,32483400
2022-04-14,30490100
2022-04-18,34851700
2022-04-19,26706000
2022-04-20,19447600
2022-04-21,19801500
2022-04-22,28305900
2022-04-25,42197800
2022-04-26,41292800
2022-04-27,51168400
2022-04-28,38719000
2022-04-29,40869800
2022-05-02,36357200
2022-05-03,39823900
2022-05-04,36603800
2022-05-05,36116500
2022-05-06,38736900
2022-05-09,55126400
2022-05-10,39216500
2022-05-11,31026300
2022-05-12,34242200
2022-05-13,37501200
2022-05-16,31829900
2022-05-17,33066500
2022-05-18,35842000
2022-05-19,46151000
2022-05-20,49128700
2022-05-23,35013400
2022-05-24,47414500
2022-05-25,26955500
2022-05-26,31219700
2022-05-27,33220500
2022-05-31,29116700
2022-06-01,35775500
2022-06-02,33701100
2022-06-03,21980600
2022-06-06,16019000
2022-06-07,26228600
2022-06-08,28798100
2022-06-09,45746200
2022-06-10,55637200
2022-06-13,40907900
2022-06-14,35699200
2022-06-15,50680500
2022-06-16,23600600
2022-06-17,51787700
2022-06-21,43689400
2022-06-22,31379200
2022-06-23,42268700
2022-06-24,32415400
2022-06-27,32282900
2022-06-28,39085200
2022-06-29,51218900
2022-06-30,39770000
2022-07-01,27953600
2022-07-05,33339700
2022-07-06,29508300
2022-07-07,26587600
2022-07-08,21865400
2022-07-11,33922800
2022-07-12,32275000
2022-07-13,42873500
2022-07-14,49551400
2022-07-15,28220600
2022-07-18,33666500
2022-07-19,33800600
2022-07-20,41585800
2022-07-21,33110700
2022-07-22,23944300
2022-07-25,29479100
2022-07-26,25300900
2022-07-27,36788900
2022-07-28,28445500
2022-07-29,23129900
2022-08-01,23227500
2022-08-02,26815500
2022-08-03,19015900
2022-08-04,28225100
2022-08-05,33510000
2022-08-08,33063100
2022-08-09,22686900
2022-08-10,31161500
2022-08-11,29761700
2022-08-12,20458500
2022-08-15,28944100
2022-08-16,17406200
2022-08-17,27596500
2022-08-18,16810300
2022-08-19,15837300
2022-08-22,16725900
2022-08-23,16517200
2022-08-24,26931400
2022-08-25,31033100
2022-08-26,33635100
2022-08-29,24503300
2022-08-30,22457100
2022-08-31,25530800
2022-09-01,27040900
2022-09-02,24355400
2022-09-06,16168600
2022-09-07,15364300
2022-09-08,19270400
2022-09-09,12606500
2022-09-12,18427800
2022-09-13,20096300
2022-09-14,14845700
2022-09-15,16517500
2022-09-16,32428300
2022-09-19,27348100
2022-09-20,31249700
2022-09-21,28656300
2022-09-22,29702200
2022-09-23,38533800
2022-09-26,35257900
2022-09-27,45369400
2022-09-28,33364600
2022-09-29,37761200
2022-09-30,23880700
2022-10-03,52604500
2022-10-04,37006600
2022-10-05,26013100
2022-10-06,47545400
2022-10-07,46617700
2022-10-10,39809200
2022-10-11,39137200
2022-10-12,38763600
2022-10-13,46006400
2022-10-14,30981000
2022-10-17,17768700
2022-10-18,29624700
2022-10-19,24859800
2022-10-20,27402400
2022-10-21,58840900
2022-10-24,62243800
2022-10-25,26970000
2022-10-26,48115100
2022-10-27,35446800
2022-10-28,26672500
2022-10-31,68997700
2022-11-01,53919800
2022-11-02,36343100
2022-11-03,32328600
2022-11-04,49405600
2022-11-07,44625400
2022-11-08,50552900
2022-11-09,148537700
2022-11-10,133501200
2022-11-11,80539700
2022-11-14,80367100
2022-11-15,23990500
2022-11-16,60612500
2022-11-17,70574900
2022-11-18,74556400
2022-11-21,42003800
2022-11-22,58973900
2022-11-23,40320800
2022-11-25,18793700
2022-11-28,37580800
2022-11-29,26654000
2022-11-30,35936000
2022-12-01,37081700
2022-12-02,39991300
2022-12-05,37207700
2022-12-06,33015300
2022-12-07,20936600
2022-12-08,24260400
2022-12-09,15608200
2022-12-12,34472900
2022-12-13,32899400
2022-12-14,44986000
2022-12-15,30922700
2022-12-16,23400400
2022-12-19,24565600
2022-12-20,43495900
2022-12-21,28949200
2022-12-22,19953400
2022-12-23,20341000
2022-12-27,25166300
2022-12-28,29613900
2022-12-29,24507700
2022-12-30,11060700
2023-01-03,55749200
2023-01-04,91596400
2023-01-05,99560800
2023-01-06,31720900
2023-01-09,50264100
2023-01-10,62188000
2023-01-11,46021500
2023-01-12,55137700
2023-01-13,34489800
2023-01-17,31396200
2023-01-18,28999600
2023-01-19,44867200
2023-01-20,25977600
2023-01-23,58116800
2023-01-24,23185100
2023-01-25,40698500
2023-01-26,27038900
2023-01-27,37993300
2023-01-30,41074000
2023-01-31,20002400
2023-02-01,18262800
2023-02-02,60904500
2023-02-03,24350600
2023-02-06,19479400
2023-02-07,29994400
2023-02-08,31429400
2023-02-09,37002400
2023-02-10,100201400
